date,ltp
2021-01-21 11:50:00,32724.65
2021-01-21 11:51:00,32732.85
2021-01-21 11:52:00,32725.35
2021-01-21 11:53:00,32722.55
2021-01-21 11:54:00,32721.65
2021-01-21 11:55:00,32713.1
2021-01-21 11:56:00,32708.2
2021-01-21 11:57:00,32716.8
2021-01-21 11:58:00,32717.8
2021-01-21 11:59:00,32722.5
2021-01-21 12:00:00,32722.05
2021-01-21 12:01:00,32709.3
2021-01-21 12:02:00,32713.1
2021-01-21 12:03:00,32720.55
2021-01-21 12:04:00,32708.25
2021-01-21 12:05:00,32721.5
2021-01-21 12:06:00,32721.75
2021-01-21 12:07:00,32722.7
2021-01-21 12:08:00,32721.2
2021-01-21 12:09:00,32714.45
2021-01-21 12:10:00,32712.3
2021-01-21 12:11:00,32705.6
2021-01-21 12:12:00,32710.75
2021-01-21 12:13:00,32719.55
2021-01-21 12:14:00,32724.3
2021-01-21 12:15:00,32734.0
2021-01-21 12:16:00,32740.1
2021-01-21 12:17:00,32764.75
2021-01-21 12:18:00,32771.1
2021-01-21 12:19:00,32772.0
2021-01-21 12:20:00,32785.1
2021-01-21 12:21:00,32770.35
2021-01-21 12:22:00,32777.15
2021-01-21 12:23:00,32775.05
2021-01-21 12:24:00,32803.3
2021-01-21 12:25:00,32805.75
2021-01-21 12:26:00,32794.25
2021-01-21 12:27:00,32806.65
2021-01-21 12:28:00,32803.65
2021-01-21 12:29:00,32799.75
2021-01-21 12:30:00,32793.55
2021-01-21 12:31:00,32801.1
2021-01-21 12:32:00,32822.3
2021-01-21 12:33:00,32823.4
2021-01-21 12:34:00,32832.1
2021-01-21 12:35:00,32838.6
2021-01-21 12:36:00,32826.4
2021-01-21 12:37:00,32833.55
2021-01-21 12:38:00,32820.75
2021-01-21 12:39:00,32833.9
2021-01-21 12:40:00,32817.9
2021-01-21 12:41:00,32792.5
2021-01-21 12:42:00,32805.75
2021-01-21 12:43:00,32806.1
2021-01-21 12:44:00,32794.35
